日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-10,9432,152.8000030517578,202511,150.0,2.04,4.684756518132801,0.178164,150.0,311069432,1.884753466374996,,0.178164
2025-10-10,9984,22245.0,202511,23250.0,2277.75,1178.8922518008912,0.628386,21250.0,311299984,1113.332556983427,,0.628386
2025-10-14,2914,4910.0,202511,5250.0,371.89,34.08702886976198,0.249431,4700.0,311152914,56.86890178535532,,0.249431
2025-10-14,3382,1961.5,202511,2000.0,79.68,41.79446898620381,0.260761,1900.0,311023382,31.965408448987887,,0.260761
2025-10-14,4063,5017.0,202511,5250.0,335.37,104.20137181968084,0.339845,4800.0,311204063,101.5036632520298,,0.339845
2025-10-14,4502,4228.0,202511,4400.0,231.21,60.7924435869536,0.261453,4000.0,311114502,41.15011374972835,,0.261453
2025-10-14,5108,6582.0,202511,7000.0,448.52,33.51512702980904,0.211997,6500.0,311025108,120.9341187836817,,0.211997
2025-10-14,5401,602.0999755859375,202511,640.0,46.3,8.64166990554574,0.320393,580.0,311125401,12.36945907477309,,0.320393
2025-10-14,5713,5100.0,202511,5500.0,451.89,54.1271604906924,0.315553,4800.0,311065713,67.2119937954592,,0.315553
2025-10-14,5802,4329.0,202511,4600.0,329.17,59.936527942547855,0.314135,4200.0,311035802,97.22023313047156,,0.314135
2025-10-14,6098,7996.0,202511,8500.0,681.33,180.4045985100716,0.403679,7500.0,311136098,162.82297880876283,,0.403679
2025-10-14,6301,5163.0,202511,5500.0,410.2,75.30531653280696,0.328722,4900.0,311146301,85.94591092717451,,0.328722
2025-10-14,6501,4262.0,202511,4500.0,362.39,125.9368275444126,0.449888,4000.0,311156501,106.56057319796832,,0.449888
2025-10-14,6503,3793.0,202511,4000.0,267.13,61.603898328833566,0.318141,3600.0,311026503,59.3935797307779,,0.318141
2025-10-14,6594,2537.0,202511,2600.0,133.29,71.10002737751495,0.338651,2400.0,311026594,42.26828099619877,,0.338651
2025-10-14,6702,3738.0,202511,4000.0,297.67,37.289219092896815,0.288933,3600.0,311026702,64.49103274308982,,0.288933
2025-10-14,6723,1710.5,202511,1800.0,141.37,52.4792546071227,0.450003,1600.0,311026723,41.02116679085162,,0.450003
2025-10-14,6752,1798.0,202511,1900.0,162.66,61.30486137815751,0.494587,1700.0,311196752,57.46183203065482,,0.494587
2025-10-14,6758,4310.0,202511,4516.0,323.08,118.61695791062016,0.407239,4100.0,311486758,108.36835064220575,,0.407239
2025-10-14,6762,2140.0,202511,2200.0,125.37,66.05694621099178,0.37489,2000.0,311036762,35.708741822931074,,0.37489
2025-10-14,6861,57250.0,202511,60000.0,4115.45,1386.153078269097,0.377075,54000.0,311146861,1114.4464771660969,,0.377075
2025-10-14,6954,4510.0,202511,4800.0,366.55,78.35316623549033,0.35528,4200.0,311036954,63.382929282863074,,0.35528
2025-10-14,7203,2871.5,202511,3000.0,189.06,61.60192651179853,0.341407,2700.0,311147203,43.79827682990037,,0.341407
2025-10-14,7974,12400.0,202511,13000.0,941.21,345.6276208061554,0.412271,11750.0,311067974,301.9974767603708,,0.412271
2025-10-14,8035,28440.0,202511,29750.0,2618.68,1318.2367822442284,0.57227,27000.0,311388035,1182.2146341550288,,0.57227
2025-10-14,8306,2241.0,202511,2400.0,186.5,28.44268982822325,0.322072,2100.0,311148306,28.4193078571779,,0.322072
2025-10-14,9432,152.1999969482422,202511,150.0,2.32,4.551932129357027,0.193132,150.0,311069432,2.351935181114847,,0.193132
2025-10-14,9984,20880.0,202511,22000.0,2255.75,1142.860451794062,0.670985,19750.0,311239984,1056.0674822124456,,0.670985
2025-10-15,2914,4928.0,202511,5250.0,353.18,34.85360282138947,0.242565,4700.0,311152914,49.34368958356208,,0.242565
2025-10-15,3382,1977.5,202511,2000.0,69.23,48.26227919091832,0.258696,1900.0,311023382,26.731711226099264,,0.258696
2025-10-15,4063,4994.0,202511,5250.0,349.95,98.732210578984,0.343961,4700.0,311194063,78.5452401023474,,0.343961
2025-10-15,4502,4198.0,202511,4400.0,249.27,50.61682162552074,0.258085,4000.0,311114502,46.85912467305229,,0.258085
2025-10-15,5108,6481.0,202511,7000.0,539.72,25.18792102359612,0.226404,6000.0,311015108,23.26085725951566,,0.226404
2025-10-15,5401,608.7000122070312,202511,640.0,40.58,9.82469906675476,0.308631,580.0,311125401,9.66959084276013,,0.308631
2025-10-15,5713,5279.0,202511,5500.0,328.5,112.45011353526728,0.331454,5000.0,311075713,86.18843249440397,,0.331454
2025-10-15,5802,4437.0,202511,4600.0,260.8,101.96018055173975,0.331551,4200.0,311035802,71.73402024497727,,0.331551
2025-10-15,6098,7737.0,202511,8000.0,500.2,245.5012619040904,0.402393,7250.0,311126098,154.4292570720877,,0.402393
2025-10-15,6301,5375.0,202511,5750.0,441.68,71.53336104114669,0.326036,5000.0,311156301,60.95651067311587,,0.326036
2025-10-15,6501,4505.0,202511,4700.0,338.11,148.29911077882844,0.442853,4300.0,311186501,135.1427832091183,,0.442853
2025-10-15,6503,3939.0,202511,4200.0,307.03,49.47401767004669,0.309276,3800.0,311036503,78.4023404087443,,0.309276
2025-10-15,6594,2539.5,202511,2600.0,130.92,72.83363258138468,0.341039,2400.0,311026594,42.17289438586704,,0.341039
2025-10-15,6702,3762.0,202511,4000.0,282.24,47.492208249975306,0.302631,3600.0,311026702,62.40559093867,,0.302631
2025-10-15,6723,1793.0,202511,1900.0,153.28,48.31560982424264,0.436489,1700.0,311036723,48.39603416716648,,0.436489
2025-10-15,6752,1805.5,202511,1900.0,153.87,61.58595502736364,0.481567,1700.0,311196752,52.72458303228359,,0.481567
2025-10-15,6758,4342.0,202511,4600.0,373.67,120.66342682673552,0.443728,4132.0,311166758,125.97215213640902,,0.443728
2025-10-15,6762,2226.0,202511,2400.0,209.54,37.79017564372941,0.386141,2200.0,311046762,85.23450345672632,,0.386141
2025-10-15,6861,58400.0,202511,61000.0,4016.7,1476.506356819853,0.376627,55000.0,311156861,1108.02039883605,,0.376627
2025-10-15,6954,4553.0,202511,4800.0,331.24,88.64494455355816,0.349347,4400.0,311046954,112.59076010330318,,0.349347
2025-10-15,7203,2913.5,202511,3100.0,228.38,44.574243592709536,0.333067,2800.0,311157203,61.31030826524727,,0.333067
2025-10-15,7974,12515.0,202511,13250.0,1029.06,307.6438966587293,0.411301,12000.0,311077974,354.9428656633463,,0.411301
2025-10-15,8035,29070.0,202511,30500.0,2698.42,1309.16027667217,0.570496,27500.0,311408035,1163.4667573097868,,0.570496
2025-10-15,8306,2291.0,202511,2400.0,149.32,42.4180738409184,0.3214,2200.0,311158306,44.86399909973432,,0.3214
2025-10-15,9432,153.5,202511,150.0,1.82,5.394351840266396,0.19352,150.0,311069432,1.8943518402664024,,0.19352
2025-10-15,9984,21945.0,202511,23000.0,2264.62,1244.6799282398097,0.670727,20750.0,311279984,1106.2167315489914,,0.670727
2025-10-16,2914,4953.0,202511,5250.0,333.03,41.45987395677184,0.246409,4700.0,311152914,45.2971688394864,,0.246409
2025-10-16,3382,1984.0,202511,2000.0,63.66,50.12705112110245,0.253643,1900.0,311023382,24.00251758636216,,0.253643
